"Gemeente"	"Jaar"	"Banen totaal"	"Vestigingen totaal"
"Meerssen"	"2017"	"4850"	"1650"
"Meierijstad"	"2017"	"43990"	"6590"
"Menameradiel"	"2017"	"3310"	"1160"
"Menterwolde"	"2017"	"2730"	"870"
"Meppel"	"2017"	"18550"	"2680"
"Middelburg"	"2017"	"24010"	"4210"
"Midden-Delfland"	"2017"	"7150"	"1620"
"Midden-Drenthe"	"2017"	"13660"	"2940"
"Mill en Sint Hubert"	"2017"	"3900"	"870"
"Moerdijk"	"2017"	"20340"	"3380"
"Molenwaard"	"2017"	"12110"	"2330"
"Montferland"	"2017"	"14290"	"2780"
"Montfoort"	"2017"	"5460"	"1370"
"Mook en Middelaar"	"2017"	"1920"	"740"
"Neder-Betuwe"	"2017"	"10700"	"2110"
"Nederweert"	"2017"	"6310"	"1900"
"Neerijnen"	"2017"	"6270"	"1370"
"Nieuwegein"	"2017"	"41860"	"5280"
"Nieuwkoop"	"2017"	"10550"	"2580"
"Nijkerk"	"2017"	"21450"	"3860"
"Nijmegen"	"2017"	"97130"	"14620"
"Nissewaard"	"2017"	"23010"	"4340"
"Noord-Beveland"	"2017"	"3040"	"990"
"Noordenveld"	"2017"	"10630"	"2650"
"Noordoostpolder"	"2017"	"25070"	"4990"
"Noordwijk"	"2017"	"15260"	"2580"
"Noordwijkerhout"	"2017"	"7100"	"1560"
"Nuenen, Gerwen en Nederwetten"	"2017"	"7430"	"2370"
"Nunspeet"	"2017"	"13520"	"2350"
"Nuth"	"2017"	"6480"	"1410"
"Oegstgeest"	"2017"	"7440"	"1700"
"Oirschot"	"2017"	"11080"	"2070"
"Oisterwijk"	"2017"	"11750"	"2900"
"Oldambt"	"2017"	"14840"	"2750"
"Oldebroek"	"2017"	"8520"	"1930"
"Oldenzaal"	"2017"	"18120"	"2680"
"Olst-Wijhe"	"2017"	"6180"	"1610"
"Ommen"	"2017"	"8450"	"1780"
"Onderbanken"	"2017"	"1160"	"610"
"Oost Gelre"	"2017"	"16220"	"2490"
"Oosterhout"	"2017"	"27160"	"4640"
"Ooststellingwerf"	"2017"	"8940"	"2370"
"Oostzaan"	"2017"	"3760"	"1020"
"Opmeer"	"2017"	"4580"	"1080"
"Opsterland"	"2017"	"10730"	"2830"
"Oss"	"2017"	"40310"	"6520"
"Oud-Beijerland"	"2017"	"12100"	"2000"
"Oude IJsselstreek"	"2017"	"16950"	"3110"
"Ouder-Amstel"	"2017"	"14770"	"2320"
"Oudewater"	"2017"	"4120"	"1140"
"Overbetuwe"	"2017"	"19990"	"4360"
"Papendrecht"	"2017"	"14780"	"1960"
"Peel en Maas"	"2017"	"16940"	"3800"
"Pekela"	"2017"	"2770"	"690"
"Pijnacker-Nootdorp"	"2017"	"15910"	"4140"
"Purmerend"	"2017"	"26770"	"5460"
"Putten"	"2017"	"9480"	"2330"
"Raalte"	"2017"	"15900"	"3280"
"Reimerswaal"	"2017"	"10240"	"2120"
"Renkum"	"2017"	"11480"	"3010"
"Renswoude"	"2017"	"3050"	"600"
"Reusel-De Mierden"	"2017"	"4100"	"1360"
"Rheden"	"2017"	"17920"	"3520"
"Rhenen"	"2017"	"6250"	"1770"
"Ridderkerk"	"2017"	"21050"	"3220"
"Rijnwaarden"	"2017"	"3020"	"790"
"Rijssen-Holten"	"2017"	"19490"	"2980"
"Rijswijk"	"2017"	"32970"	"4260"
"Roerdalen"	"2017"	"5270"	"1580"
"Roermond"	"2017"	"34170"	"5020"
"Roosendaal"	"2017"	"37340"	"6110"
"Rotterdam"	"2017"	"370390"	"51380"
"Rozendaal"	"2017"	"400"	"150"
"Rucphen"	"2017"	"6250"	"2100"
"Schagen"	"2017"	"20840"	"4340"
"Scherpenzeel"	"2017"	"4880"	"820"
"Schiedam"	"2017"	"34550"	"5240"
"Schiermonnikoog"	"2017"	"570"	"120"
"Schinnen"	"2017"	"2980"	"1070"
"Schouwen-Duiveland"	"2017"	"15660"	"4440"
"Simpelveld"	"2017"	"2200"	"760"
"Sint Anthonis"	"2017"	"4200"	"1080"
"Sint-Michielsgestel"	"2017"	"8480"	"2440"
"Sittard-Geleen"	"2017"	"53790"	"7630"
"Sliedrecht"	"2017"	"14940"	"1660"
"Slochteren"	"2017"	"4830"	"1340"
"Sluis"	"2017"	"10940"	"2950"
"Smallingerland"	"2017"	"28560"	"4400"
"Soest"	"2017"	"17390"	"4890"
"Someren"	"2017"	"8540"	"2130"
"Son en Breugel"	"2017"	"14570"	"1800"
"Stadskanaal"	"2017"	"12140"	"2260"
"Staphorst"	"2017"	"8060"	"1680"
"Stede Broec"	"2017"	"5500"	"1370"
"Steenbergen"	"2017"	"7090"	"1950"
"Steenwijkerland"	"2017"	"16290"	"4410"
"Stein"	"2017"	"8590"	"1830"
"Stichtse Vecht"	"2017"	"23170"	"6480"
"Strijen"	"2017"	"3350"	"830"
"Súdwest-Fryslân"	"2017"	"39980"	"8490"
"Ten Boer"	"2017"	"1760"	"580"
"Terneuzen"	"2017"	"29620"	"4400"
"Terschelling"	"2017"	"2530"	"700"
"Texel"	"2017"	"8030"	"1890"
"Teylingen"	"2017"	"16290"	"2820"
"Tholen"	"2017"	"8790"	"2570"
"Tiel"	"2017"	"23120"	"3300"
"Tilburg"	"2017"	"112650"	"17170"
"Tubbergen"	"2017"	"8700"	"2180"
"Twenterand"	"2017"	"11460"	"2570"
"Tynaarlo"	"2017"	"11600"	"2850"
"Tytsjerksteradiel"	"2017"	"10010"	"2550"
"Uden"	"2017"	"24010"	"3340"
